id1,id2
0,0
2,3
7,6
8,9
9,12
10,15
11,18
12,21
13,24
15,27
16,30
21,33
22,36
24,39
26,42
28,45
30,48
38,51
39,54
40,57
41,60
42,63
43,66
44,69
48,72
50,75
57,78
58,81
59,84
60,87
63,90
64,93
65,96
68,99
70,102
76,105
79,108
83,111
86,114
87,117
93,120
95,123
98,126
102,129
103,132
106,135
108,138
110,141
111,144
113,147
117,150
122,153
125,156
127,159
132,162
137,165
139,168
140,171
142,174
146,177
148,180
149,183
155,186
156,189
157,192
163,195
165,198
166,201
169,204
170,207
171,210
172,213
175,216
176,219
177,222
178,225
181,228
182,231
183,234
197,237
200,240
204,243
206,246
211,249
213,252
217,255
223,258
224,261
225,264
227,267
232,270
235,273
237,276
240,279
242,282
245,285
246,288
248,291
249,294
255,297
256,300
257,303
259,306
261,309
265,312
266,315
270,318
272,321
275,324
276,327
277,330
279,333
286,336
287,339
288,342
291,345
295,348
296,351
297,354
298,357
306,360
308,363
309,366
310,369
311,372
312,375
313,378
316,381
318,384
319,387
324,390
325,393
326,396
328,399
330,402
338,405
340,408
350,411
352,414
354,417
355,420
359,423
361,426
362,429
363,432
364,435
365,438
366,441
370,444
371,447
372,450
375,453
377,456
379,459
380,462
381,465
382,468
384,471
389,474
390,477
397,480
398,483
400,486
403,489
404,492
406,495
409,498
415,501
416,504
420,507
427,510
431,513
441,516
445,519
446,522
448,525
451,528
452,531
457,534
459,537
460,540
461,543
464,545
470,548
472,551
476,554
480,557
482,560
485,563
495,566
499,569
500,572
502,575
503,578
505,581
506,584
507,587
510,590
512,593
517,596
518,599
520,602
521,605
522,608
531,611
533,614
534,617
535,620
538,623
539,626
540,629
543,632
545,635
546,638
547,641
549,644
550,647
551,650
552,653
554,656
560,659
562,662
566,665
567,668
569,671
571,674
575,677
577,680
579,683
580,686
586,689
588,692
592,695
596,698
597,701
600,704
603,707
604,710
605,713
608,716
609,719
611,722
618,725
620,728
621,731
623,734
630,737
631,740
632,743
633,746
634,749
638,752
643,755
650,758
651,761
653,764
656,767
657,770
659,773
661,776
663,779
665,782
668,785
670,788
671,791
673,794
674,797
675,800
678,803
681,806
685,809
691,812
693,815
696,818
698,821
701,824
707,827
710,830
711,833
713,836
717,839
722,842
723,845
724,848
726,851
729,854
734,857
741,860
742,863
744,866
745,869
746,872
747,875
748,878
750,881
755,884
756,887
759,890
761,893
762,896
763,899
768,902
771,905
772,908
776,911
777,914
779,917
780,920
788,923
789,926
796,929
798,932
799,935
803,938
806,941
808,944
809,947
810,950
811,953
816,956
819,959
821,962
824,965
828,968
831,971
835,974
836,977
839,980
842,983
845,986
846,989
848,992
850,995
852,998
855,1001
861,1004
863,1007
865,1010
869,1013
873,1016
874,1019
877,1022
879,1025
880,1028
882,1031
885,1034
886,1037
887,1040
890,1043
891,1046
892,1049
894,1052
895,1055
897,1058
901,1060
903,1063
904,1066
906,1069
909,1072
913,1075
916,1078
919,1081
921,1084
927,1087
928,1090
936,1093
939,1096
940,1099
943,1102
945,1105
947,1108
950,1111
951,1114
952,1117
953,1120
956,1123
960,1126
961,1129
962,1132
963,1135
965,1138
966,1141
970,1144
972,1147
975,1150
983,1153
984,1156
986,1159
991,1162
1000,1165
1005,1168
1009,1171
1011,1174
1014,1177
1019,1180
1021,1183
1026,1186
1031,1189
1032,1192
1035,1195
1036,1198
1037,1201
1038,1204
1043,1207
1044,1210
1049,1213
1052,1216
1053,1219
1055,1222
1056,1225
1062,1228
1068,1231
1070,1234
1072,1237
1074,1240
1075,1243
1076,1246
1077,1249
1079,1252
1080,1255
1082,1258
1083,1261
1086,1264
1089,1267
1090,1270
1091,1273
1092,1276
1096,1279
1098,1282
1099,1285
1102,1288
1103,1291
1104,1294
1106,1297
1108,1300
1114,1303
1116,1306
1117,1309
1122,1312
1123,1315
1125,1318
1131,1321
1132,1324
1133,1327
1134,1330
1143,1333
1146,1336
1148,1338
